cgaed gcdbfa gcfaed gfcde gadfceb cdbfeg acg eacf eabgd ca 
ga ega edgfa cafed gabd cefagdb begfad ebdgf fcbega cbgdfe 
ged eg acfgd fdceb cdbefa dgcfe cebfdg edcbga egbf ceadfbg 
cbefg fedbcg bfdg abgedc fgced edcagf caefb gb fedcbga beg 
gecdab gbafd geabdcf ecfa dbcfge cfb afgbc efgbac cf cgbae 
cbdef febdga fba ba fadecb cgfea adbc cbafe fbedcag egcfbd 
gecdba ecafbg ecabg bgacfd gecaf feba aedbfgc fca gdfec af 
geab adgfc gacef acgefdb gecfba eg dbfgec beacf afedbc ecg 
gebcfad dafceg gdcaf bdfgea ab befgc gfbca bdca gab dgabcf 
efgcdb egd gceaf dabgcf ed acegd gdbaefc dabe dgacb adcebg 
eb efb eafgbd bgce adcfe fbcgd fgdbac bdefcg fcdbe fcebadg 
cafgbde aced gfdaec defgbc ce gec gfdca bfgacd afgeb cegaf 
gcedba dgbe eba ecadgf bcfda bfegca eb gfecadb abcde egcad 
fgcd bcf edfbg dbgeafc fc efdbc fcdbeg beacd adgebf aebfcg 
decag bade ad gda gadceb fgcbae adfgcb dfecg gceab edfgcab 
adbgfe fd dbgf gdeaf agfeb agcde gedabcf afcedb gbceaf daf 
cgeabfd efbgac dgcfba gbfd dcageb dga gd bgcaf fgadc aecfd 
efdgc gfdb cegbfd bdefcga bcgef bacdge eafcd afgecb cdg dg 
edgabc cgaf gdbfa cafdgeb dbfacg gdc adfebg fgbcd gc bcdef 
bcdfage ebgdac dcb adce cd acdgb bcfedg gbace dbfag fgceab 
fd gafcdb feadcgb dacefb gdfab fagcbe gcdf bdf edagb gacfb 
daefcb cg gfdea ceg ecfabg beafc gecdafb eafcg bcfg abdcge 
degafbc fgeac gb acbeg bcead dcafge bcfg gbe bcgefa edafgb 
adeg ga agfcbde gadefc fbcged acg gefdc gcbeaf acdbf acgfd 
bfegda eag dbcafg gfedabc fegcab afgbd ae faed dbaeg bdecg 
bcdga bgd cdfag dbaec dcfgeab cadfeg gb cdgbfa fdcebg gbfa 
acfgbed eagdcf cgdb db gdcbfa acbdf cbefa gadfc gbadfe bfd 
agbed geaf cfbgaed dae ae deafcb fbcdeg dgefb dgcab fbegad 
bcade fdecba bgceaf acg ecdfg adbg cgfdbae bcgead ga eacgd 
agcefb cbfdaeg fabce eg dcgfb bcadfe gace bedagf gbefc beg 
efbgc ebgfa dacegfb daegf bcfgea dbcgef abfc agbecd ba bag 
aebf fed fdbacg fe gdeacf egdfb ecgfabd gcdbe fbaedg fabdg 
adf cgabfd daegf af edfgc egbcfad gcbdae ebaf gbeda faedgb 
gab gcfb cgbdae defab afbdg acefdg bfgdac bg eafcbdg cagfd 
eagfbd fcbgd baceg dba bcdgfe facgbd da dafc cgafedb bcdga 
feacgb gbfac dag dbac cdfgea gfebacd gfdeb gdfba da dfgcab 
cfdabg ecag ecgadb eg ebg faebd dgbea dacfegb gbdca bgfecd 
bfdec fgdbce debga adecfb fa face dgfabec bfdae gacbfd bfa 
fcbad ecd fbagecd deabg gaedbc fgbdae ec adbce aecg ebfcdg 
dg efbcgd cfdbaeg cfdga adeg bagcfe caefgd gdf feacg cdfab 
fdgbe gbc egfcdb cbdeg dcbf ecgad bc gcbafe beadfg bgdface 
gace gcefb cgdebf ac cfa fbeac fgcdeba ebafd bagcdf gfacbe 
fcbega dfgcab gacbedf fgeca cbeg gc fegdba gac ecfda egabf 
cbga bdceaf bgfdec ba efgab aeb efcbga gdaef egbcf abgcdef 
fdcba bgfcd fdbaecg fcgaeb cegd bfgdae dgefb dfcgeb gc gbc 
caedgf bge dacbg be dbfecag cgbefa eagfc ebaf ecbag fdcbeg 
dacgbef gebdfa bdcfga cgd adfgec cd cdba cdfbg ebcgf fdgab 
fdgac cebf baedc dceaf adfcbe bfedga edgcba fe fed edabfgc 
dagfbc fceabd fgbc edbcafg bdf bf bdgae afgcd fbdga gaefdc 
dgfcb abdfe fgadbc cfbgae gadfb afg cdgbefa cagd fcgdbe ag 
gbedc faced dfb fbegadc fcdbe fcdgab bf bdafce beaf edfacg 
aegcfb dacgbfe fc ebcag acgebd acef cfbag cgf cbedfg fagdb 
dgcfabe bgad eab agedc befcg cbaegd cefabd gaecb dceagf ab 
fgbde fgba efb bf fcdgae afdeg afbecd becgd efdcbga dfegab 
fb acgefb egafd baf adefb dcageb bdafce aefgdcb decab cbdf 
edcaf dgabfe ceb bgdc cb gaefcb fdgceb ecdfgba begdf bdcfe 
gedfcba bcdaeg dgae gca gdcbe afbdgc gfdcbe agcbe eafcb ag 
aebcfg fagdc fcgea fgdebca ecabf ge feg bcge fgadeb cdebaf 
aegcf becgdaf cbfag bafcd gcb cfgbde abdfce acdgfb bg dgba 
egcab adfegb gc febgac dbcea fgce bgafcde cdgbaf fbgea cgb 
cabfe dfa agdec df aecdfb cfbadg fagceb befd cfade dbaefgc 
gcab fbeadcg badcf ag fgaced gfabdc dgbfa fag bgfed afdbec 
ae bdefac dacbf ecabd afdecgb feacbg eba aedf bcgde dfgcab 
fdgba bdgeca cgb fdgec gbcadef dgabef bcagdf bc fbac gbcfd 
afdgbce geac egfdca acbedf fgdce faced eg efg dgbaef bdcgf 
daf fdaeb df dbfg dbeca egfab cegabf cfeadg cbdaefg dfbaeg 
gdcabe bfc dgbefca fc aebgc dcabfe efbgac fbcga agbfd efgc 
cf fgdbe deacfg dbcea efdcb bfcg fdebcg fdc befdag gebdfca 
gdfba fceadg cb fbcgd cgeb cdefg cdb bdfcae fgdcbe gbedfca 
dbgcaef dbfc eafgb fd dgbaec bcdag daf dfcaeg bdgfa bfcagd 
cd cfedb cgadebf efbgc abdfec edfab cadefg abcd dcf gbeadf 
cgdfbae fe gecfd defb adcgeb caefgb fge dcgeb cgedfb cdfga 
egadb bdfge gcebdf ga cfdgabe edabc gdfa beafgd abg bacgef 
gbdea bfaeg fba gabcdf gadbec bf dbef egabdfc cfeag dfbgea 
ebdac becfda bd bedfga edgcafb bed aecdg ebafcg dbcf abfec 
gfbac dcage dfgace abgfed fgcdaeb fd agcebd defc gafdc gdf 
bcfdeg dgceaf cea fecgb cbafe ea geab adcfb bdfgcae gcefab 
gd agebc fgcd dbg fdgecb egfbda fbdgaec fcdeab bfdce bcdeg 
edc acged fcea ce dgecaf ebgdfc bcafgd fdcga acbgedf aegbd 
gfebd agbcfd acdbf caefdb abgefc gbfadce abe eacd ae dafeb 
aebcf dea gdacfe gfad adcgbfe caedf gbdeca ad dgcbef cfdeg 
eabgcd gdaeb faebgcd gaedf fdcbea efd ef efgb fgcad daefgb 
cbeaf bafceg bfeg bcf bdcfag cdeaf fb edbcag bgeac cbgefad 
ced aecgfdb fdecgb gcefa agde ed efdca abfcd begafc agdfce 
cda gdcaeb cadfe ebcagf cbefa dfabce gfdae cdfb cadgebf cd 
gacfbde bg degcaf gfbce aefgcb cbdef egcfa acgb bge gfaedb 
aefcd dfgea dfc cf fedcga cbdea adgefb adbgcf gecf gcbefad 
